City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,susuman,62.7833,148.1667,-19.81,97,100,0.2,RU,1729541744
1,badger,64.8,-147.5333,2.14,91,100,1.54,US,1729541745
2,grytviken,-54.2811,-36.5092,2.15,96,100,2.43,GS,1729541746
3,namibe,-15.1961,12.1522,19.91,79,5,1.82,AO,1729541747
4,saint-yrieix-la-perche,45.516,1.2057,15.03,93,76,1.51,FR,1729541748
5,inhambane,-23.865,35.3833,22.17,94,1,3.11,MZ,1729541749
6,iqaluit,63.7506,-68.5145,-2.15,86,75,3.09,CA,1729541750
7,bikenibeu village,1.3673,173.1241,28.98,74,20,4.63,KI,1729541752
8,garachico,28.7781,-17.7646,20.06,73,75,5.66,ES,1729541753
9,adamstown,-25.066,-130.1015,19.65,62,100,6.75,PN,1729541754
10,port-aux-francais,-49.35,70.2167,2.95,73,23,13.88,TF,1729541755
11,palikir - national government center,6.9248,158.1611,24.41,94,100,0.0,FM,1729541756
12,kosh-agach,50.0,88.6667,-3.38,68,95,0.7,RU,1729541757
13,jamestown,42.097,-79.2353,24.8,33,0,6.17,US,1729541574
14,ribeira grande,38.5167,-28.7,20.22,64,40,6.71,PT,1729541759
15,yellowknife,62.456,-114.3525,-1.44,70,75,4.47,CA,1729541760
16,waitangi,-43.9535,-176.5597,11.01,84,100,4.92,NZ,1729541761
17,bredasdorp,-34.5322,20.0403,14.54,86,41,5.9,ZA,1729541763
18,kez,57.8979,53.7152,4.38,96,99,2.15,RU,1729541764
19,port pirie,-33.1833,138.0167,15.27,93,98,1.21,AU,1729541765
20,college,64.8569,-147.8028,1.71,86,100,1.54,US,1729541766
21,katabu,-4.9333,122.5167,23.88,91,100,1.34,ID,1729541767
22,pariaman,-0.619,100.12,25.03,85,32,1.69,ID,1729541768
23,thompson,55.7435,-97.8558,-0.91,93,100,5.14,CA,1729541769
24,constantia,44.1833,28.65,7.61,48,0,3.09,RO,1729541646
25,olonkinbyen,70.9221,-8.7187,1.08,99,100,7.15,SJ,1729541771
26,tolanaro,-25.0319,46.9987,24.04,83,40,8.23,MG,1729541773
27,fale old settlement,-9.3852,-171.2468,28.22,74,58,5.72,TK,1729541774
28,malango,-2.9627,119.9001,17.9,96,100,1.35,ID,1729541775
29,fortuna,40.5982,-124.1573,16.07,89,100,0.0,US,1729541776
30,kailua-kona,19.6406,-155.9956,28.49,75,0,3.09,US,1729541777
31,isafjordur,66.0755,-23.124,-1.83,95,100,5.51,IS,1729541778
32,talnakh,69.4865,88.3972,-18.4,95,64,1.36,RU,1729541779
33,happy valley-goose bay,53.3168,-60.3315,7.17,53,75,2.57,CA,1729541780
34,anadyr,64.75,177.4833,-2.72,92,100,8.94,RU,1729541781
35,coahuayana de hidalgo,18.7,-103.6583,32.45,60,91,2.97,MX,1729541783
36,richards bay,-28.783,32.0377,19.29,95,100,0.93,ZA,1729541784
37,blackmans bay,-43.0167,147.3167,13.07,76,100,4.04,AU,1729541785
38,nar'yan-mar,67.6713,53.087,4.43,96,100,4.64,RU,1729541786
